date,location,latitude,longitude,precipitationCorrected,temperature2m,temperature2mMax,temperature2mMin,dewPoint2m,earthSkinTemperature,relativeHumidity2m,specificHumidity2m,surfacePressure,windSpeed10m,windDirection10m,shortwaveDownwardIrradiance,longwaveDownwardIrradiance,surfaceSoilWetness,rootZoneSoilWetness,cloudFraction
2015-01-01,PHU CAT,13.767,109.217,0.41,23.17,23.63,22.32,18.1,23.53,73.34,12.87,101.31,9.2,7.8,16.54,34.07,0.89,0.91,81.09
2015-01-02,PHU CAT,13.767,109.217,1.99,23.36,23.88,23.01,20.08,23.68,81.85,14.56,101.28,7.99,22.3,5.81,35.13,0.89,0.91,99.65
2015-01-03,PHU CAT,13.767,109.217,1.42,23.44,24.22,23.07,20.56,23.56,83.77,15.01,101.09,6.61,27.9,7.72,35.9,0.88,0.91,97.27
2015-01-04,PHU CAT,13.767,109.217,0.48,23.75,24.46,23.3,21.19,23.69,85.51,15.65,100.88,3.28,40.6,8.94,35.73,0.87,0.9,98.47
2015-01-05,PHU CAT,13.767,109.217,0.08,24.21,24.99,23.67,22.13,24.12,88.12,16.6,100.79,1.81,85.5,16.67,34.64,0.87,0.9,70.66
2015-01-06,PHU CAT,13.767,109.217,0.15,24.43,25.42,23.81,22.92,24.3,91.22,17.42,100.81,2.84,54.3,13.15,35.45,0.86,0.89,57.32
2015-01-07,PHU CAT,13.767,109.217,0.89,24.36,25.35,23.71,21.9,24.16,86.11,16.33,101.05,6.09,30.8,15.4,34.98,0.86,0.89,77.95
2015-01-08,PHU CAT,13.767,109.217,1.61,23.87,24.83,23.13,21.32,23.91,85.55,15.72,101.23,8.59,40.9,12.38,35.37,0.86,0.88,80.25
2015-01-09,PHU CAT,13.767,109.217,1.05,23.52,24.05,23.28,20.89,23.63,85.1,15.31,101.2,7.25,32.4,15.14,34.54,0.86,0.88,76.73
2015-01-10,PHU CAT,13.767,109.217,1.04,23.66,24.35,23.17,20.61,23.75,82.94,15.05,101.18,7.26,40.4,12.12,35.16,0.85,0.87,77.24
2015-01-11,PHU CAT,13.767,109.217,0.81,23.47,24.37,22.67,20.12,23.7,81.49,14.6,101.16,6.61,24.6,10.5,35.0,0.85,0.87,94.93
2015-01-12,PHU CAT,13.767,109.217,0.93,22.44,24.05,21.25,19.71,23.5,84.55,14.25,101.2,9.05,354.0,12.64,35.16,0.84,0.86,94.22
2015-01-13,PHU CAT,13.767,109.217,0.41,21.5,22.53,20.79,17.76,22.93,79.24,12.58,101.36,9.69,1.3,14.65,33.97,0.84,0.85,75.84
2015-01-14,PHU CAT,13.767,109.217,0.25,21.27,22.36,20.25,16.04,22.67,72.06,11.25,101.45,8.3,3.7,16.4,32.83,0.83,0.85,60.65
2015-01-15,PHU CAT,13.767,109.217,0.09,20.89,21.65,20.39,15.93,22.37,73.3,11.18,101.42,7.88,358.9,16.97,31.64,0.83,0.84,48.97
2015-01-16,PHU CAT,13.767,109.217,0.92,22.17,22.95,21.05,18.66,23.04,80.86,13.37,101.31,8.25,4.0,13.26,35.2,0.83,0.83,88.33
2015-01-17,PHU CAT,13.767,109.217,0.2,22.91,24.01,22.17,18.02,23.17,73.92,12.8,101.34,8.44,24.0,12.82,33.76,0.82,0.83,73.65
2015-01-18,PHU CAT,13.767,109.217,0.76,22.66,23.35,21.55,18.85,23.09,79.05,13.48,101.3,8.12,23.8,13.94,34.54,0.82,0.82,84.79
2015-01-19,PHU CAT,13.767,109.217,0.05,21.65,22.75,20.81,17.09,22.64,75.29,12.03,101.4,7.33,15.4,15.44,32.19,0.81,0.82,68.58
2015-01-20,PHU CAT,13.767,109.217,0.1,21.7,22.87,20.94,18.07,22.42,80.08,12.82,101.42,6.37,357.2,16.65,32.02,0.81,0.81,75.83
2015-01-21,PHU CAT,13.767,109.217,0.05,22.18,22.95,21.5,19.22,22.66,83.28,13.76,101.53,7.12,5.2,16.81,32.81,0.81,0.8,54.51
2015-01-22,PHU CAT,13.767,109.217,0.0,21.89,23.1,20.71,17.37,22.49,75.49,12.27,101.45,6.09,24.7,18.57,31.94,0.8,0.8,27.55
2015-01-23,PHU CAT,13.767,109.217,0.0,21.68,22.83,20.73,16.43,22.59,72.03,11.56,101.2,3.8,42.0,19.63,30.73,0.8,0.79,20.91
2015-01-24,PHU CAT,13.767,109.217,0.0,21.92,22.97,21.2,16.93,23.03,73.31,11.94,101.21,2.83,49.5,20.16,30.33,0.79,0.79,10.77
2015-01-25,PHU CAT,13.767,109.217,0.0,22.25,23.58,20.77,17.0,23.01,72.28,11.99,101.22,1.99,42.8,21.1,30.13,0.78,0.78,9.45
2015-01-26,PHU CAT,13.767,109.217,0.0,22.55,23.78,21.47,18.71,23.15,78.97,13.38,101.15,2.21,48.4,21.66,30.53,0.78,0.77,6.92
2015-01-27,PHU CAT,13.767,109.217,0.0,22.54,23.79,21.66,18.62,23.1,78.49,13.31,101.04,3.45,45.1,20.07,31.49,0.78,0.77,14.5
2015-01-28,PHU CAT,13.767,109.217,0.0,22.53,23.82,21.42,18.67,23.13,78.82,13.35,101.06,3.92,35.4,19.47,31.87,0.77,0.76,22.0
2015-01-29,PHU CAT,13.767,109.217,0.0,22.54,23.63,21.67,18.79,23.32,79.31,13.43,101.19,5.17,28.0,18.1,32.34,0.76,0.76,28.74
2015-01-30,PHU CAT,13.767,109.217,0.02,22.88,23.95,22.24,19.04,23.45,79.03,13.63,101.36,6.34,16.3,19.36,33.16,0.76,0.75,48.65
2015-01-31,PHU CAT,13.767,109.217,0.51,23.17,24.06,22.55,19.31,23.54,78.97,13.86,101.41,7.27,24.6,18.74,33.42,0.75,0.74,61.18
2015-02-01,PHU CAT,13.767,109.217,0.45,23.32,24.22,22.84,20.0,23.48,81.67,14.47,101.4,6.89,36.7,17.63,34.01,0.75,0.74,51.42
2015-02-02,PHU CAT,13.767,109.217,0.22,23.46,24.41,22.84,20.41,23.39,82.98,14.82,101.48,6.28,32.7,13.11,34.91,0.74,0.73,74.4
2015-02-03,PHU CAT,13.767,109.217,0.24,22.89,24.09,21.87,19.24,23.18,79.85,13.77,101.52,7.11,26.2,15.57,34.02,0.73,0.73,58.29
2015-02-04,PHU CAT,13.767,109.217,0.14,22.62,23.77,21.66,18.26,23.05,76.34,12.96,101.46,7.31,21.5,15.05,33.01,0.73,0.72,44.68
2015-02-05,PHU CAT,13.767,109.217,0.1,22.54,23.34,21.94,18.0,22.97,75.49,12.74,101.47,7.56,28.0,20.0,32.39,0.72,0.71,34.24
2015-02-06,PHU CAT,13.767,109.217,0.13,22.44,23.5,21.46,17.75,22.82,74.83,12.54,101.43,6.78,34.3,16.09,32.84,0.71,0.71,49.02
2015-02-07,PHU CAT,13.767,109.217,0.1,22.32,23.35,21.73,17.78,22.71,75.48,12.58,101.38,5.91,31.7,18.9,32.13,0.7,0.7,32.28
2015-02-08,PHU CAT,13.767,109.217,0.3,22.26,23.2,21.5,18.11,22.76,77.32,12.83,101.46,7.04,33.7,16.32,32.89,0.7,0.7,46.63
2015-02-09,PHU CAT,13.767,109.217,0.21,21.96,22.86,21.23,17.63,22.64,76.39,12.45,101.46,7.18,27.4,13.84,32.59,0.69,0.69,44.38
2015-02-10,PHU CAT,13.767,109.217,0.08,21.75,23.18,20.59,17.23,22.47,75.5,12.16,101.23,5.41,26.1,19.29,32.19,0.68,0.69,35.23
2015-02-11,PHU CAT,13.767,109.217,0.01,21.88,23.06,21.08,17.81,22.67,77.76,12.63,101.18,5.09,20.1,21.11,31.41,0.67,0.68,18.81
2015-02-12,PHU CAT,13.767,109.217,0.07,22.18,23.26,21.27,18.35,22.84,78.89,13.07,101.11,5.13,28.6,18.09,32.72,0.67,0.68,36.18
2015-02-13,PHU CAT,13.767,109.217,0.13,22.06,23.11,21.06,18.4,22.93,79.72,13.12,101.07,3.97,57.1,18.12,32.8,0.66,0.67,32.61
2015-02-14,PHU CAT,13.767,109.217,0.03,22.09,23.06,21.52,18.38,23.12,79.45,13.12,100.93,2.7,107.9,18.75,32.36,0.65,0.67,21.09
2015-02-15,PHU CAT,13.767,109.217,0.0,22.67,24.05,21.87,18.83,23.51,78.98,13.49,101.02,2.9,69.7,18.96,32.6,0.64,0.66,21.48
2015-02-16,PHU CAT,13.767,109.217,0.01,22.82,24.05,22.02,18.78,23.58,78.01,13.45,101.04,4.5,18.0,20.46,31.69,0.64,0.66,12.83
2015-02-17,PHU CAT,13.767,109.217,0.18,23.79,24.75,23.09,20.81,24.15,83.68,15.31,100.98,3.78,37.0,21.82,33.58,0.63,0.65,31.92
2015-02-18,PHU CAT,13.767,109.217,0.11,24.0,25.34,22.96,21.81,24.46,87.56,16.24,101.03,4.38,62.2,16.36,35.07,0.62,0.65,54.43
2015-02-19,PHU CAT,13.767,109.217,0.03,23.89,24.79,23.3,21.11,24.44,84.36,15.54,101.1,3.72,40.6,19.93,33.74,0.62,0.65,39.14
2015-02-20,PHU CAT,13.767,109.217,0.03,24.49,25.71,23.64,21.24,24.76,82.34,15.7,101.0,2.62,90.1,19.55,34.5,0.61,0.64,55.16
2015-02-21,PHU CAT,13.767,109.217,0.01,24.55,25.96,23.58,22.16,24.86,86.71,16.62,100.94,3.33,138.6,20.35,34.01,0.6,0.63,23.31
2015-02-22,PHU CAT,13.767,109.217,0.03,24.78,26.41,23.6,22.39,24.8,86.88,16.86,100.98,3.36,137.1,22.21,33.46,0.59,0.63,8.49
2015-02-23,PHU CAT,13.767,109.217,0.01,24.84,26.28,23.77,22.23,24.93,85.59,16.69,100.92,3.71,148.1,22.03,33.86,0.59,0.63,7.44
2015-02-24,PHU CAT,13.767,109.217,0.01,25.09,26.5,24.25,21.99,25.27,82.99,16.47,100.81,4.02,141.1,21.14,33.77,0.58,0.62,10.59
2015-02-25,PHU CAT,13.767,109.217,0.0,24.87,26.45,23.84,21.35,25.09,80.95,15.84,100.79,4.32,149.9,22.41,32.77,0.57,0.62,8.64
2015-02-26,PHU CAT,13.767,109.217,0.0,25.1,26.71,24.06,21.8,25.16,82.12,16.28,100.78,4.05,148.6,23.5,33.39,0.57,0.61,13.8
2015-02-27,PHU CAT,13.767,109.217,0.04,25.77,27.05,25.02,22.54,25.66,82.52,17.03,100.85,3.3,127.9,22.31,34.89,0.56,0.61,18.17
2015-02-28,PHU CAT,13.767,109.217,0.1,25.69,26.78,24.81,22.42,25.83,82.18,16.88,100.95,3.44,104.5,21.78,34.42,0.56,0.6,25.11
2015-03-01,PHU CAT,13.767,109.217,0.21,25.35,26.9,23.73,22.04,25.82,81.96,16.47,101.08,4.65,48.2,21.62,34.33,0.55,0.6,27.46
2015-03-02,PHU CAT,13.767,109.217,0.02,24.55,25.83,23.6,21.2,25.71,81.61,15.67,100.86,3.67,94.7,21.51,33.26,0.55,0.59,15.7
2015-03-03,PHU CAT,13.767,109.217,0.0,25.33,27.54,24.13,21.57,25.73,80.02,16.09,100.63,5.55,159.2,20.33,34.29,0.54,0.59,4.91
2015-03-04,PHU CAT,13.767,109.217,0.02,25.19,26.77,24.31,21.94,25.58,82.33,16.41,100.83,4.71,151.7,20.44,33.56,0.54,0.59,4.92
2015-03-05,PHU CAT,13.767,109.217,0.0,25.36,26.82,24.44,22.16,25.7,82.69,16.63,100.93,4.36,146.0,24.01,33.48,0.53,0.58,9.81
2015-03-06,PHU CAT,13.767,109.217,0.01,25.34,26.88,24.39,22.14,25.64,82.5,16.59,100.91,4.21,136.7,24.24,33.57,0.53,0.58,41.24
2015-03-07,PHU CAT,13.767,109.217,0.01,25.38,26.96,24.31,21.51,25.71,79.33,15.95,100.98,3.66,104.5,22.56,33.38,0.52,0.57,26.99
2015-03-08,PHU CAT,13.767,109.217,0.0,25.44,26.89,24.59,21.81,25.71,80.56,16.25,101.07,2.79,108.1,20.72,34.57,0.52,0.57,35.45
2015-03-09,PHU CAT,13.767,109.217,0.0,25.46,27.11,23.93,22.34,25.96,82.88,16.76,101.2,3.91,99.8,22.38,33.59,0.52,0.57,17.59
2015-03-10,PHU CAT,13.767,109.217,0.01,24.75,26.22,23.65,21.03,25.73,80.02,15.45,101.23,3.79,56.9,24.67,32.74,0.51,0.56,15.81
2015-03-11,PHU CAT,13.767,109.217,0.01,25.33,26.6,24.29,21.54,25.83,79.64,15.94,101.24,3.54,41.1,22.54,33.94,0.5,0.56,16.41
2015-03-12,PHU CAT,13.767,109.217,0.38,25.41,26.62,24.53,22.14,25.88,82.14,16.56,101.13,3.56,61.3,18.16,34.89,0.5,0.56,49.84
2015-03-13,PHU CAT,13.767,109.217,0.08,25.74,26.61,25.15,22.53,26.11,82.54,16.97,101.12,3.8,121.9,19.9,34.56,0.5,0.55,27.18
2015-03-14,PHU CAT,13.767,109.217,0.03,25.92,27.4,24.83,22.36,26.06,80.84,16.79,101.14,3.86,139.9,21.1,34.19,0.49,0.55,6.04
2015-03-15,PHU CAT,13.767,109.217,0.02,25.72,27.46,24.43,22.19,26.04,81.05,16.63,101.05,4.81,154.7,22.85,33.12,0.48,0.55,3.05
2015-03-16,PHU CAT,13.767,109.217,0.01,25.49,27.46,23.86,22.17,25.82,82.35,16.66,100.92,5.6,165.6,23.69,32.86,0.48,0.54,1.68
2015-03-17,PHU CAT,13.767,109.217,0.0,25.35,27.68,23.62,22.07,25.61,82.71,16.61,100.68,5.9,166.0,22.19,33.04,0.48,0.54,4.49
2015-03-18,PHU CAT,13.767,109.217,0.0,25.39,27.51,23.94,22.16,25.5,82.59,16.67,100.65,5.74,161.1,21.25,34.65,0.47,0.54,4.62
2015-03-19,PHU CAT,13.767,109.217,0.0,25.22,27.02,24.03,21.5,25.38,79.94,15.97,100.79,5.12,150.6,22.02,33.57,0.47,0.53,6.65
2015-03-20,PHU CAT,13.767,109.217,0.01,24.91,26.3,24.14,20.81,25.44,78.17,15.29,100.98,3.52,130.7,25.73,33.35,0.46,0.53,8.58
2015-03-21,PHU CAT,13.767,109.217,0.01,25.36,27.0,24.16,21.65,25.7,80.03,16.08,101.06,3.79,37.8,23.27,34.45,0.46,0.53,21.8
2015-03-22,PHU CAT,13.767,109.217,0.59,25.16,26.32,24.55,20.87,25.54,77.27,15.34,101.04,5.2,26.8,23.19,33.92,0.46,0.52,45.88
2015-03-23,PHU CAT,13.767,109.217,1.41,25.73,26.83,25.17,22.23,25.93,81.17,16.69,101.0,4.76,28.2,22.24,35.01,0.47,0.52,39.9
2015-03-24,PHU CAT,13.767,109.217,6.56,25.8,26.98,25.12,23.06,25.99,85.0,17.53,101.12,5.43,32.8,16.71,36.08,0.52,0.52,55.57
2015-03-25,PHU CAT,13.767,109.217,11.88,25.65,26.84,24.8,23.54,25.69,88.11,18.01,101.21,5.65,43.4,21.26,35.77,0.62,0.54,36.43
2015-03-26,PHU CAT,13.767,109.217,5.95,25.71,26.94,24.92,23.46,25.72,87.43,17.92,101.29,5.01,38.2,18.61,35.97,0.58,0.55,63.93
2015-03-27,PHU CAT,13.767,109.217,3.64,25.51,26.76,24.56,23.21,25.54,87.17,17.67,101.19,4.36,46.5,21.94,35.48,0.56,0.56,66.5
2015-03-28,PHU CAT,13.767,109.217,1.82,25.6,26.65,25.02,23.12,25.7,86.15,17.6,101.02,4.14,46.4,15.35,36.04,0.54,0.56,77.01
2015-03-29,PHU CAT,13.767,109.217,0.3,25.99,27.14,25.19,22.9,26.12,83.09,17.38,100.92,3.01,77.1,21.97,35.34,0.51,0.55,38.2
2015-03-30,PHU CAT,13.767,109.217,0.39,26.36,27.72,25.45,23.08,26.7,82.19,17.59,100.88,3.57,122.2,24.29,34.59,0.5,0.55,10.37
2015-03-31,PHU CAT,13.767,109.217,0.21,26.65,28.04,25.64,23.06,26.72,80.93,17.6,100.81,4.03,149.4,25.88,34.2,0.49,0.54,15.48
2015-04-01,PHU CAT,13.767,109.217,0.02,26.82,28.79,25.5,23.43,26.81,82.14,18.04,100.62,4.77,159.1,25.27,34.85,0.49,0.54,11.53
2015-04-02,PHU CAT,13.767,109.217,0.0,26.88,28.78,25.64,23.84,26.97,83.71,18.52,100.39,5.33,158.9,23.75,35.79,0.48,0.53,13.88
2015-04-03,PHU CAT,13.767,109.217,0.02,27.12,28.89,25.99,24.34,27.03,84.96,19.09,100.32,5.89,158.0,21.77,36.36,0.48,0.53,30.07
2015-04-04,PHU CAT,13.767,109.217,0.03,27.0,28.78,25.5,24.11,26.89,84.39,18.8,100.43,5.28,157.7,21.83,35.92,0.47,0.53,35.71
2015-04-05,PHU CAT,13.767,109.217,0.01,26.08,27.87,24.75,22.55,26.49,81.09,17.1,100.55,4.67,150.8,22.81,35.19,0.47,0.52,35.91
2015-04-06,PHU CAT,13.767,109.217,0.0,26.37,27.96,25.56,22.63,26.67,80.09,17.16,100.65,3.91,142.1,24.76,34.31,0.46,0.52,8.04
2015-04-07,PHU CAT,13.767,109.217,0.01,26.38,28.13,25.07,22.08,27.11,77.44,16.57,100.76,3.9,80.0,25.78,33.71,0.45,0.52,8.62
2015-04-08,PHU CAT,13.767,109.217,0.07,26.24,27.79,25.02,22.41,26.93,79.92,16.92,100.89,5.71,12.7,25.16,33.95,0.45,0.51,11.74
2015-04-09,PHU CAT,13.767,109.217,0.08,26.44,27.91,25.38,23.48,26.86,83.91,18.03,100.87,4.85,22.2,23.25,35.3,0.45,0.51,24.7
2015-04-10,PHU CAT,13.767,109.217,0.18,26.26,27.73,25.17,23.41,26.74,84.47,17.94,100.9,5.04,19.5,21.99,35.12,0.45,0.51,30.11
2015-04-11,PHU CAT,13.767,109.217,1.63,26.11,27.32,25.26,23.55,26.64,85.98,18.09,100.99,4.98,18.8,23.2,35.34,0.46,0.51,20.11
2015-04-12,PHU CAT,13.767,109.217,7.2,26.01,27.33,25.0,23.47,26.34,85.93,17.97,101.13,7.69,17.9,16.99,36.9,0.53,0.51,80.66
2015-04-13,PHU CAT,13.767,109.217,2.14,25.06,26.04,24.41,20.79,25.53,77.18,15.25,101.16,8.9,9.7,10.66,35.94,0.53,0.52,71.09
2015-04-14,PHU CAT,13.767,109.217,0.12,25.16,26.41,23.83,18.89,25.62,68.27,13.54,101.12,6.49,36.5,21.42,34.17,0.47,0.51,27.94
2015-04-15,PHU CAT,13.767,109.217,0.0,25.19,26.4,24.17,18.06,25.73,64.75,12.85,101.06,2.94,62.0,23.73,33.74,0.46,0.51,15.37
2015-04-16,PHU CAT,13.767,109.217,0.0,26.02,27.57,25.04,21.75,26.49,77.71,16.24,100.91,3.1,123.2,23.16,34.17,0.45,0.5,11.6
2015-04-17,PHU CAT,13.767,109.217,0.01,26.69,28.5,25.7,23.28,26.8,81.97,17.87,100.64,4.94,157.5,23.02,34.72,0.44,0.5,3.01
2015-04-18,PHU CAT,13.767,109.217,0.0,27.05,29.03,25.63,24.2,27.11,84.82,18.91,100.52,5.3,159.9,23.93,35.3,0.44,0.5,3.11
2015-04-19,PHU CAT,13.767,109.217,0.01,27.38,29.63,25.67,24.31,27.27,83.91,19.05,100.51,4.7,159.9,23.69,36.3,0.43,0.5,4.6
2015-04-20,PHU CAT,13.767,109.217,0.03,27.86,30.34,26.31,24.43,27.5,82.14,19.2,100.4,4.1,159.8,23.07,36.44,0.42,0.49,5.32
2015-04-21,PHU CAT,13.767,109.217,0.32,27.52,29.81,26.02,24.98,27.43,86.45,19.82,100.56,2.87,130.6,22.3,36.85,0.42,0.49,44.49
2015-04-22,PHU CAT,13.767,109.217,0.18,27.01,28.42,26.03,24.55,27.32,86.56,19.25,100.82,3.47,77.2,23.34,35.9,0.41,0.49,38.66
2015-04-23,PHU CAT,13.767,109.217,0.44,26.85,28.04,26.01,24.31,27.17,86.02,18.95,100.93,4.41,37.4,19.82,36.3,0.4,0.49,76.86
2015-04-24,PHU CAT,13.767,109.217,0.22,26.87,28.19,26.01,23.73,27.19,83.1,18.3,100.92,5.12,27.7,23.18,35.65,0.39,0.49,25.46
2015-04-25,PHU CAT,13.767,109.217,0.96,26.84,28.05,25.97,23.58,27.21,82.43,18.13,100.88,5.71,31.5,21.71,36.37,0.39,0.49,56.97
2015-04-26,PHU CAT,13.767,109.217,1.83,26.83,28.13,25.94,23.41,27.23,81.65,17.94,100.9,5.43,29.9,22.0,35.87,0.41,0.49,41.58
2015-04-27,PHU CAT,13.767,109.217,0.81,27.05,28.24,26.25,23.55,27.5,81.3,18.12,100.8,3.36,44.5,22.5,35.89,0.4,0.49,39.15
2015-04-28,PHU CAT,13.767,109.217,0.27,27.56,28.96,26.6,23.89,27.82,80.48,18.51,100.69,3.31,131.3,24.77,35.81,0.39,0.48,11.13
2015-04-29,PHU CAT,13.767,109.217,0.2,27.61,29.03,26.51,23.8,27.94,79.94,18.42,100.7,4.25,150.5,25.03,35.65,0.36,0.48,15.05
2015-04-30,PHU CAT,13.767,109.217,0.08,27.69,29.31,26.45,23.58,28.05,78.54,18.19,100.65,4.7,151.5,25.78,35.79,0.34,0.48,17.37
2015-05-01,PHU CAT,13.767,109.217,0.0,27.85,29.51,26.54,24.05,28.06,80.26,18.74,100.55,5.35,159.4,23.54,36.55,0.31,0.48,58.51
2015-05-02,PHU CAT,13.767,109.217,0.06,28.17,29.95,26.78,24.87,28.39,82.63,19.69,100.54,5.42,165.1,23.73,36.69,0.3,0.48,15.01
2015-05-03,PHU CAT,13.767,109.217,0.13,28.56,31.2,26.88,24.83,28.5,80.86,19.65,100.54,5.47,161.8,24.92,36.91,0.29,0.48,18.21
2015-05-04,PHU CAT,13.767,109.217,0.05,28.36,30.8,26.65,24.91,28.37,82.18,19.76,100.51,5.03,155.5,24.73,36.58,0.28,0.48,7.32
2015-05-05,PHU CAT,13.767,109.217,0.1,28.23,30.23,26.94,24.92,28.2,82.65,19.79,100.36,4.71,158.9,24.41,36.89,0.27,0.48,26.79
2015-05-06,PHU CAT,13.767,109.217,0.05,28.28,30.36,27.21,25.33,28.05,84.54,20.31,100.35,4.63,155.5,22.42,37.09,0.27,0.48,50.91
2015-05-07,PHU CAT,13.767,109.217,0.07,28.42,30.22,27.2,25.58,28.2,84.96,20.59,100.4,4.84,156.7,24.45,36.69,0.27,0.48,32.94
2015-05-08,PHU CAT,13.767,109.217,0.06,28.63,30.42,27.4,25.27,28.31,82.44,20.23,100.32,5.07,157.4,22.53,37.11,0.27,0.48,54.43
2015-05-09,PHU CAT,13.767,109.217,0.1,28.78,31.05,27.43,25.08,28.56,81.1,20.02,100.35,3.81,154.2,24.06,37.2,0.27,0.48,22.34
2015-05-10,PHU CAT,13.767,109.217,0.09,28.71,30.51,27.22,24.79,28.37,79.87,19.63,100.44,3.64,156.8,23.7,37.16,0.26,0.48,36.48
2015-05-11,PHU CAT,13.767,109.217,0.2,28.4,29.52,27.41,25.38,28.19,83.84,20.3,100.57,3.7,154.8,22.27,37.62,0.27,0.48,49.97
2015-05-12,PHU CAT,13.767,109.217,0.03,28.14,29.61,26.99,24.98,28.07,83.36,19.84,100.64,3.25,166.4,24.17,36.43,0.27,0.48,40.24
2015-05-13,PHU CAT,13.767,109.217,0.0,28.74,30.34,27.59,24.61,28.88,78.74,19.39,100.64,4.35,139.5,25.03,35.95,0.26,0.48,22.25
2015-05-14,PHU CAT,13.767,109.217,0.0,28.91,30.63,27.42,24.41,29.01,76.99,19.12,100.69,4.81,155.0,24.22,36.44,0.25,0.48,18.69
2015-05-15,PHU CAT,13.767,109.217,0.01,29.17,31.24,27.93,24.81,29.11,77.75,19.61,100.64,4.88,156.4,24.6,36.93,0.25,0.48,17.67
2015-05-16,PHU CAT,13.767,109.217,1.42,29.19,31.15,28.25,25.04,29.14,78.6,19.91,100.45,5.4,153.9,23.5,37.43,0.26,0.48,27.47
2015-05-17,PHU CAT,13.767,109.217,2.03,28.2,28.77,27.67,24.79,28.26,81.81,19.61,100.45,3.75,174.2,16.69,37.55,0.35,0.48,45.91
2015-05-18,PHU CAT,13.767,109.217,1.63,29.36,30.99,28.27,25.61,29.15,80.64,20.63,100.36,5.49,163.3,24.12,37.07,0.39,0.48,14.87
2015-05-19,PHU CAT,13.767,109.217,1.58,29.42,31.37,28.29,25.62,28.97,80.39,20.65,100.32,5.36,172.0,24.13,37.51,0.42,0.48,30.52
2015-05-20,PHU CAT,13.767,109.217,1.45,29.4,30.99,28.18,25.9,28.96,81.63,20.98,100.41,3.39,180.3,21.99,37.81,0.45,0.49,68.42
2015-05-21,PHU CAT,13.767,109.217,0.36,29.39,31.15,28.39,26.05,29.22,82.63,21.17,100.46,2.95,142.1,21.77,37.88,0.44,0.48,86.13
2015-05-22,PHU CAT,13.767,109.217,0.37,29.14,30.46,28.04,26.2,29.08,84.37,21.37,100.36,4.8,176.4,23.36,37.4,0.43,0.48,62.1
2015-05-23,PHU CAT,13.767,109.217,0.22,29.32,30.94,28.05,25.61,28.92,80.72,20.64,100.38,4.44,185.1,24.48,37.38,0.41,0.48,58.59
2015-05-24,PHU CAT,13.767,109.217,0.21,29.37,31.33,28.1,25.77,28.99,81.52,20.86,100.34,4.76,167.1,24.01,37.55,0.39,0.48,56.8
2015-05-25,PHU CAT,13.767,109.217,0.27,29.47,31.46,28.21,25.56,29.17,79.94,20.59,100.35,4.84,175.9,23.85,37.59,0.38,0.48,53.42
2015-05-26,PHU CAT,13.767,109.217,0.39,29.54,30.85,28.66,25.26,29.27,78.01,20.2,100.41,4.8,178.6,24.57,37.15,0.38,0.48,21.23
2015-05-27,PHU CAT,13.767,109.217,0.07,30.11,32.46,28.45,24.4,29.54,72.01,19.25,100.25,4.36,191.4,23.76,37.37,0.36,0.48,25.25
2015-05-28,PHU CAT,13.767,109.217,0.08,30.21,32.34,29.12,25.24,30.15,75.39,20.27,100.18,5.77,171.2,24.49,37.41,0.34,0.48,6.26
2015-05-29,PHU CAT,13.767,109.217,0.08,30.4,32.69,29.04,25.61,30.35,76.19,20.67,100.31,5.14,167.5,24.16,37.39,0.32,0.48,13.89
2015-05-30,PHU CAT,13.767,109.217,0.18,30.57,32.65,29.07,25.48,30.52,74.77,20.5,100.32,5.12,166.9,24.49,37.3,0.31,0.48,8.33
2015-05-31,PHU CAT,13.767,109.217,0.48,30.42,32.7,29.24,25.69,30.39,76.37,20.77,100.23,5.14,166.5,24.88,37.35,0.31,0.48,18.34
2015-06-01,PHU CAT,13.767,109.217,0.6,29.92,31.96,28.58,25.88,29.85,79.46,21.0,100.28,5.46,164.3,24.53,37.17,0.32,0.48,33.54
2015-06-02,PHU CAT,13.767,109.217,0.65,29.42,30.98,28.15,25.58,29.37,80.14,20.57,100.43,6.31,164.0,24.27,37.2,0.34,0.48,16.97
2015-06-03,PHU CAT,13.767,109.217,0.19,29.02,30.64,27.52,24.88,29.2,78.7,19.71,100.5,4.86,161.6,25.45,36.6,0.34,0.48,15.76
2015-06-04,PHU CAT,13.767,109.217,0.06,28.82,30.33,27.59,25.03,29.17,80.19,19.9,100.45,5.13,160.1,24.51,36.43,0.33,0.48,4.25
2015-06-05,PHU CAT,13.767,109.217,0.0,29.17,30.76,27.72,25.27,29.42,79.92,20.24,100.32,4.78,157.7,25.14,37.22,0.31,0.48,50.7
2015-06-06,PHU CAT,13.767,109.217,0.01,29.4,31.32,27.89,25.17,29.58,78.53,20.12,100.34,5.28,156.3,22.95,36.87,0.3,0.48,58.72
2015-06-07,PHU CAT,13.767,109.217,0.02,29.41,30.86,28.16,24.39,29.51,74.87,19.19,100.41,5.58,170.6,24.51,36.96,0.29,0.48,12.28
2015-06-08,PHU CAT,13.767,109.217,0.02,29.62,31.37,28.12,24.94,29.86,76.34,19.83,100.36,5.43,165.3,24.71,37.39,0.28,0.48,11.46
2015-06-09,PHU CAT,13.767,109.217,0.02,29.93,32.25,28.49,25.44,29.99,77.49,20.46,100.34,4.91,169.2,24.44,37.78,0.27,0.47,16.91
